Id,SalePrice
1461,122705.5
1462,152187.0
1463,187742.0
1464,187978.0
1465,184344.46
1466,180689.0
1467,182050.72
1468,173789.25
1469,188331.94
1470,113856.0
1471,191358.44
1472,90964.0
1473,97059.0
1474,149361.84
1475,119544.54
1476,368909.64
1477,259505.27
1478,297768.44
1479,305008.01
1480,468182.06
1481,329196.08
1482,200712.02
1483,195188.14
1484,157024.9
1485,163721.19
1486,201939.0
1487,319899.28
1488,232941.47
1489,203211.76
1490,209344.97
1491,186246.05
1492,102288.0
1493,205859.5
1494,290848.76
1495,275582.67
1496,220433.9
1497,184776.04
1498,152931.01
1499,150866.81
1500,159182.54
1501,171724.85
1502,149156.91
1503,262923.99
1504,211869.85
1505,213437.4
1506,185179.5
1507,283057.74
1508,212580.21
1509,160116.84
1510,152106.75
1511,145831.25
1512,169964.4
1513,138278.9
1514,172208.05
1515,237205.65
1516,170029.0
1517,154082.0
1518,137450.45
1519,226970.21
1520,134232.5
1521,143275.0
1522,172540.0
1523,114129.38
1524,122712.75
1525,122680.0
1526,124720.5
1527,116541.25
1528,131014.0
1529,144527.0
1530,165994.5
1531,144758.04
1532,97790.25
1533,135105.5
1534,119322.0
1535,180376.5
1536,123549.0
1537,105598.5
1538,138076.02
1539,153224.0
1540,120814.67
1541,146933.37
1542,142442.86
1543,202186.37
1544,94734.5
1545,106670.75
1546,121777.6
1547,138251.34
1548,132912.84
1549,120858.25
1550,144419.86
1551,114753.5
1552,155192.74
1553,151067.58
1554,103065.28
1555,176124.74
1556,91098.87
1557,107729.5
1558,86865.0
1559,127595.74
1560,141785.08
1561,153477.97
1562,128414.5
1563,112402.5
1564,157821.6
1565,160784.5
1566,208672.72
1567,89112.0
1568,218621.32
1569,163108.34
1570,132356.0
1571,147495.23
1572,142565.5
1573,270037.38
1574,114547.0
1575,197084.8
1576,262430.5
1577,209337.39
1578,148571.25
1579,145235.2
1580,190477.0
1581,141867.25
1582,122229.0
1583,350587.42
1584,252938.44
1585,138328.0
1586,94268.5
1587,107316.5
1588,144055.25
1589,117281.0
1590,133244.5
1591,106507.79
1592,123940.25
1593,110828.75
1594,158425.72
1595,141909.68
1596,204194.11
1597,195941.23
1598,182246.17
1599,147865.22
1600,177341.1
1601,75395.0
1602,108681.5
1603,109901.75
1604,245685.97
1605,254864.87
1606,170864.0
1607,208456.61
1608,223030.88
1609,202501.32
1610,172824.76
1611,155829.5
1612,199071.88
1613,189264.84
1614,113452.04
1615,89739.0
1616,82742.5
1617,98455.54
1618,127181.0
1619,137532.0
1620,228052.51
1621,159921.18
1622,138195.84
1623,241032.54
1624,236560.22
1625,118483.0
1626,173249.55
1627,185801.0
1628,276991.71
1629,173261.85
1630,298488.35
1631,197021.9
1632,245096.07
1633,162030.07
1634,180640.19
1635,178676.25
1636,169812.95
1637,195940.1
1638,195148.0
1639,193918.55
1640,260788.54
1641,202892.87
1642,209117.49
1643,233140.81
1644,219347.28
1645,185610.13
1646,155194.5
1647,158445.5
1648,142151.5
1649,143867.75
1650,121114.0
1651,129573.0
1652,90203.0
1653,99119.0
1654,155864.5
1655,138721.0
1656,146041.14
1657,156520.67
1658,146740.14
1659,125389.58
1660,146437.0
1661,416365.74
1662,333932.5
1663,377247.34
1664,450504.65
1665,344214.94
1666,303634.99
1667,348841.53
1668,321575.72
1669,247266.18
1670,347029.37
1671,260699.93
1672,468724.88
1673,320347.07
1674,247387.75
1675,198591.05
1676,200491.67
1677,226221.7
1678,428013.05
1679,398716.48
1680,309933.75
1681,261496.74
1682,307462.51
1683,192934.07
1684,176054.1
1685,176635.48
1686,172136.36
1687,162811.16
1688,189065.83
1689,186972.05
1690,178611.75
1691,164372.04
1692,256912.83
1693,161222.32
1694,179503.3
1695,173509.48
1696,296873.09
1697,174921.14
1698,364895.02
1699,354988.2
1700,253922.57
1701,260598.42
1702,298695.42
1703,276576.4
1704,278991.41
1705,211417.44
1706,411246.38
1707,242593.36
1708,233170.71
1709,261127.91
1710,217444.62
1711,260506.88
1712,279260.11
1713,266471.56
1714,209149.8
1715,198858.35
1716,206917.87
1717,155774.14
1718,155311.62
1719,204800.15
1720,247163.47
1721,155749.0
1722,141790.0
1723,153613.0
1724,239330.37
1725,219741.61
1726,206254.6
1727,184950.61
1728,180447.4
1729,159670.43
1730,167149.8
1731,127359.0
1732,122194.0
1733,114285.5
1734,129560.25
1735,130839.0
1736,116627.54
1737,345417.4
1738,211345.18
1739,289397.14
1740,311472.9
1741,192367.8
1742,170541.0
1743,172855.03
1744,272201.55
1745,218854.1
1746,185233.64
1747,191351.28
1748,222337.44
1749,163892.0
1750,146902.0
1751,218342.2
1752,118070.0
1753,165734.17
1754,196496.5
1755,152360.25
1756,124714.0
1757,123154.5
1758,151741.62
1759,170343.05
1760,167122.5
1761,159670.0
1762,170782.0
1763,165470.5
1764,113734.5
1765,172201.15
1766,161093.5
1767,236013.0
1768,138399.0
1769,147021.0
1770,135318.32
1771,132606.25
1772,137752.5
1773,144435.5
1774,153185.4
1775,127826.5
1776,113921.5
1777,106344.5
1778,128764.0
1779,111728.5
1780,179670.18
1781,126446.25
1782,103734.0
1783,140277.14
1784,108813.0
1785,122571.0
1786,182891.38
1787,154182.86
1788,63393.5
1789,108426.5
1790,84760.0
1791,269949.4
1792,158469.5
1793,134590.5
1794,140397.0
1795,137410.75
1796,123397.0
1797,118155.98
1798,131290.0
1799,103060.0
1800,110854.64
1801,142164.02
1802,152896.76
1803,148765.81
1804,140811.7
1805,132957.5
1806,114418.96
1807,124743.4
1808,130886.5
1809,123987.09
1810,159378.84
1811,133959.64
1812,114464.47
1813,121379.0
1814,103112.5
1815,77989.0
1816,98924.0
1817,124254.19
1818,137375.53
1819,114508.82
1820,68945.0
1821,125503.18
1822,181815.25
1823,68071.0
1824,147440.34
1825,150527.88
1826,96283.0
1827,113935.5
1828,143567.34
1829,126505.94
1830,150389.0
1831,151878.03
1832,125770.19
1833,135544.32
1834,125372.14
1835,142307.73
1836,140737.37
1837,93550.0
1838,127915.64
1839,92230.0
1840,170652.8
1841,143091.9
1842,97419.0
1843,147109.0
1844,137387.6
1845,163956.18
1846,151392.5
1847,199182.4
1848,69334.0
1849,114089.48
1850,127910.5
1851,164670.34
1852,129957.25
1853,129366.84
1854,155437.1
1855,159905.87
1856,236234.61
1857,203411.4
1858,152702.11
1859,126300.27
1860,151676.24
1861,127920.41
1862,296787.38
1863,295541.33
1864,295541.33
1865,279601.68
1866,325291.32
1867,251478.88
1868,277417.63
1869,202073.03
1870,212473.6
1871,242396.08
1872,176700.0
1873,228458.0
1874,139637.0
1875,201513.86
1876,204184.28
1877,194943.52
1878,216309.59
1879,127091.25
1880,137553.3
1881,250253.92
1882,254984.43
1883,208153.85
1884,221675.41
1885,216532.1
1886,235264.97
1887,200355.36
1888,253412.89
1889,164646.11
1890,141094.25
1891,146474.49
1892,111790.5
1893,127437.25
1894,129769.74
1895,157402.05
1896,123606.0
1897,109799.0
1898,104875.0
1899,131393.5
1900,114108.24
1901,185124.87
1902,129865.75
1903,167446.34
1904,134191.0
1905,171948.92
1906,186904.9
1907,212795.5
1908,131423.0
1909,132484.65
1910,131118.82
1911,197928.0
